    Iter     M1(i)      T1(i)      M2(i)      T2(i)      U1(i)      U2(i)
  91.000   0.887459   0.922445   0.793533   0.922932   0.537607   0.337057
  92.000   0.886404   0.921513   0.791470   0.922334   0.695754   0.251164
  93.000   0.885354   0.920312   0.789411   0.921881   0.649420   0.246809
  94.000   0.884308   0.919189   0.787356   0.921435   0.394788   0.600495
  95.000   0.883267   0.918499   0.785304   0.920388   0.724182   0.164901
  96.000   0.882229   0.917249   0.783258   0.920081   0.843509   0.720570
  97.000   0.881197   0.915796   0.781215   0.918830   0.489433   0.448687
  98.000   0.880169   0.914944   0.779177   0.918041   0.457427   0.345080
  99.000   0.879145   0.914148   0.777144   0.917428   0.506807   0.508617
 100.000   0.878125   0.913267   0.775115   0.916536   0.754102   0.735865
 101.000   0.877110   0.911965   0.773090   0.915258   0.615455   0.402888
 102.000   0.876099   0.910900   0.771070   0.914546   0.749264   0.526260
 103.000   0.875092   0.909606   0.769055   0.913625   0.380582   0.851201
 104.000   0.874090   0.908940   0.767044   0.912150   0.800754   0.540125
 105.000   0.873092   0.907559   0.765038   0.911205   0.597980   0.569636
 106.000   0.872098   0.906522   0.763037   0.910209   0.266194   0.340997
 107.000   0.871109   0.906050   0.761040   0.909601   0.476739   0.284391
 108.000   0.870123   0.905220   0.759047   0.909090   0.775447   0.255811
 109.000   0.869141   0.903881   0.757058   0.908627   0.280737   0.236566
 110.000   0.868164   0.903384   0.755073   0.908197   0.282131   0.448559
 111.000   0.867189   0.902884   0.753091   0.907406   0.348882   0.838704
 112.000   0.866219   0.902271   0.751113   0.905952   0.444166   0.247853
 113.000   0.865251   0.901496   0.749141   0.905502   0.823905   0.883799
 114.000   0.864288   0.900075   0.747172   0.903971   0.451096   0.188895
 115.000   0.863329   0.899287   0.745208   0.903621   0.306452   0.426976
 116.000   0.862374   0.898746   0.743248   0.902867   0.575917   0.309769
 117.000   0.861422   0.897747   0.741292   0.902311   0.582274   0.668973
 118.000   0.860475   0.896736   0.739339   0.901145   0.277397   0.193934
 119.000   0.859531   0.896244   0.737391   0.900786   0.337341   0.355023
 120.000   0.858591   0.895650   0.735447   0.900153   0.439333   0.506287
 121.000   0.857654   0.894882   0.733506   0.899263   0.168413   0.309986
 122.000   0.856721   0.894575   0.731569   0.898706   0.740812   0.123376
 123.000   0.855790   0.893295   0.729636   0.898467   0.843083   0.684265
 124.000   0.854864   0.891840   0.727706   0.897274   0.490887   0.562820
 125.000   0.853943   0.890985   0.725781   0.896287   0.289827   0.467079
 126.000   0.853026   0.890471   0.723860   0.895463   0.870471   0.537445
 127.000   0.852112   0.888970   0.721943   0.894519   0.516909   0.285276
 128.000   0.851202   0.888070   0.720030   0.894004   0.491118   0.599248
 129.000   0.850297   0.887214   0.718120   0.892954   0.643308   0.416412
 130.000   0.849395   0.886099   0.716215   0.892216   0.393949   0.890386
 131.000   0.848498   0.885407   0.714314   0.890672   0.130191   0.808134
 132.000   0.847604   0.885165   0.712417   0.889267   0.830629   0.736947
 133.000   0.846712   0.883731   0.710525   0.887983   0.178970   0.309497
 134.000   0.845826   0.883405   0.708638   0.887426   0.368285   0.643782
 135.000   0.844942   0.882758   0.706754   0.886300   0.209243   0.676982
 136.000   0.844061   0.882380   0.704875   0.885118   0.185409   0.623006
 137.000   0.843183   0.882044   0.702999   0.884027   0.495339   0.723241
 138.000   0.842308   0.881180   0.701128   0.882766   0.672030   0.822976
 139.000   0.841437   0.880016   0.699262   0.881335   0.812738   0.367330
 140.000   0.840570   0.878613   0.697399   0.880679   0.658997   0.258248
 141.000   0.839708   0.877471   0.695541   0.880208   0.124433   0.695259
 142.000   0.838849   0.877237   0.693686   0.878993   0.500018   0.483938
 143.000   0.837994   0.876366   0.691835   0.878138   0.823778   0.587893
 144.000   0.837142   0.874943   0.689987   0.877107   0.594133   0.787554
 145.000   0.836294   0.873911   0.688144   0.875735   0.744392   0.561377
 146.000   0.835451   0.872624   0.686305   0.874748   0.246338   0.291946
 147.000   0.834611   0.872183   0.684470   0.874219   0.809210   0.122939
 148.000   0.833775   0.870786   0.682638   0.873977   0.491921   0.234342
 149.000   0.832943   0.869927   0.680809   0.873546   0.882945   0.670156
 150.000   0.832115   0.868404   0.678983   0.872374   0.500377   0.476871
 151.000   0.831291   0.867531   0.677162   0.871530   0.147695   0.645578
 152.000   0.830472   0.867257   0.675343   0.870399   0.133945   0.157156
 153.000   0.829654   0.867007   0.673529   0.870099   0.517320   0.177384
 154.000   0.828839   0.866106   0.671718   0.869764   0.754519   0.754038
 155.000   0.828028   0.864800   0.669909   0.868448   0.677952   0.219892
 156.000   0.827221   0.863625   0.668105   0.868041   0.627684   0.514876
 157.000   0.826418   0.862536   0.666304   0.867132   0.878380   0.619193
 158.000   0.825620   0.861020   0.664506   0.866045   0.740264   0.463038
 159.000   0.824825   0.859738   0.662712   0.865224   0.445913   0.760251
 160.000   0.824035   0.858957   0.660922   0.863898   0.166776   0.206537
 161.000   0.823249   0.858651   0.659135   0.863513   0.238711   0.412750
 162.000   0.822465   0.858222   0.657352   0.862777   0.765104   0.742692
 163.000   0.821683   0.856899   0.655572   0.861480   0.148377   0.419406
 164.000   0.820906   0.856624   0.653796   0.860733   0.521501   0.433440
 165.000   0.820132   0.855714   0.652023   0.859961   0.625488   0.602379
 166.000   0.819361   0.854628   0.650254   0.858903   0.333587   0.445321
 167.000   0.818594   0.854038   0.648488   0.858111   0.112390   0.887251
 168.000   0.817830   0.853823   0.646725   0.856568   0.233735   0.184973
 169.000   0.817068   0.853403   0.644967   0.856218   0.397928   0.258495
 170.000   0.816309   0.852703   0.643212   0.855743   0.491750   0.371595
 171.000   0.815553   0.851844   0.641459   0.855076   0.861304   0.836266
 172.000   0.814801   0.850357   0.639710   0.853619   0.142142   0.690286
 173.000   0.814053   0.850092   0.637964   0.852410   0.315296   0.438268
 174.000   0.813308   0.849533   0.636223   0.851630   0.538297   0.854190
 175.000   0.812565   0.848594   0.634485   0.850142   0.434195   0.886442
 176.000   0.811826   0.847833   0.632750   0.848599   0.341164   0.660879
 177.000   0.811091   0.847230   0.631020   0.847440   0.633071   0.531301
 178.000   0.810358   0.846130   0.629294   0.846500   0.658484   0.633222
 179.000   0.809629   0.844988   0.627571   0.845388   0.242506   0.202412
 180.000   0.808904   0.844552   0.625851   0.845007   0.899264   0.236897
 181.000   0.808182   0.843000   0.624134   0.844568   0.126081   0.548960
 182.000   0.807464   0.842762   0.622420   0.843599   0.805493   0.635340
 183.000   0.806749   0.841370   0.620709   0.842482   0.252347   0.395133
 184.000   0.806037   0.840917   0.619002   0.841774   0.468581   0.885310
 185.000   0.805329   0.840097   0.617297   0.840232   0.225124   0.784418
 186.000   0.804624   0.839691   0.615597   0.838861   0.615812   0.401018
 187.000   0.803921   0.838621   0.613900   0.838143   0.252739   0.442602
 188.000   0.803222   0.838167   0.612207   0.837353   0.485618   0.196489
 189.000   0.802526   0.837318   0.610516   0.836982   0.571606   0.280950
 190.000   0.801833   0.836323   0.608828   0.836467   0.407695   0.566389
 191.000   0.801143   0.835606   0.607143   0.835467   0.301445   0.332353
 192.000   0.800457   0.835070   0.605460   0.834864   0.593673   0.312225
 193.000   0.799773   0.834037   0.603781   0.834296   0.759501   0.886131
 194.000   0.799094   0.832722   0.602104   0.832752   0.684199   0.375102
 195.000   0.798418   0.831535   0.600431   0.832076   0.567255   0.186215
 196.000   0.797745   0.830547   0.598761   0.831722   0.825047   0.803723
 197.000   0.797077   0.829121   0.597094   0.830318   0.754208   0.308582
 198.000   0.796413   0.827815   0.595430   0.829756   0.575485   0.118010
 199.000   0.795752   0.826812   0.593768   0.829517   0.440207   0.350175
 200.000   0.795095   0.826040   0.592109   0.828884   0.229188   0.243013
 201.000   0.794441   0.825626   0.590453   0.828433   0.438309   0.175383
 202.000   0.793790   0.824857   0.588799   0.828096   0.578819   0.476739
 203.000   0.793142   0.823848   0.587147   0.827248   0.656759   0.659910
 204.000   0.792497   0.822708   0.585499   0.826087   0.610825   0.126883
 205.000   0.791856   0.821645   0.583853   0.825833   0.155045   0.355680
 206.000   0.791219   0.821357   0.582210   0.825190   0.524691   0.623557
 207.000   0.790584   0.820440   0.580570   0.824092   0.426095   0.755985
 208.000   0.789952   0.819692   0.578932   0.822768   0.674687   0.874919
 209.000   0.789324   0.818520   0.577298   0.821242   0.525067   0.360117
 210.000   0.788699   0.817603   0.575668   0.820591   0.184503   0.588767
 211.000   0.788077   0.817265   0.574040   0.819551   0.723042   0.438762
 212.000   0.787458   0.816011   0.572415   0.818766   0.172659   0.313177
 213.000   0.786842   0.815693   0.570793   0.818195   0.222925   0.324804
 214.000   0.786229   0.815290   0.569174   0.817603   0.452068   0.521714
 215.000   0.785619   0.814497   0.567557   0.816677   0.465939   0.800297
 216.000   0.785011   0.813680   0.565943   0.815277   0.514442   0.854898
 217.000   0.784407   0.812781   0.564332   0.813785   0.610167   0.866155
 218.000   0.783805   0.811719   0.562725   0.812273   0.292566   0.640898
 219.000   0.783208   0.811197   0.561121   0.811143   0.331252   0.637447
 220.000   0.782613   0.810610   0.559520   0.810020   0.656112   0.154394
 221.000   0.782020   0.809470   0.557922   0.809718   0.303832   0.279232
 222.000   0.781432   0.808929   0.556327   0.809203   0.634266   0.775514
 223.000   0.780846   0.807826   0.554733   0.807845   0.375570   0.724416
 224.000   0.780263   0.807163   0.553143   0.806573   0.640266   0.105372
 225.000   0.779683   0.806050   0.551556   0.806354   0.581736   0.409417
 226.000   0.779107   0.805036   0.549971   0.805617   0.832793   0.100921
 227.000   0.778534   0.803596   0.548389   0.805406   0.469959   0.439479
 228.000   0.777966   0.802772   0.546808   0.804618   0.468733   0.716128
 229.000   0.777400   0.801951   0.545230   0.803360   0.357977   0.727791
 230.000   0.776837   0.801317   0.543655   0.802083   0.477086   0.128610
 231.000   0.776277   0.800481   0.542083   0.801824   0.240700   0.677406
 232.000   0.775720   0.800047   0.540513   0.800631   0.478789   0.222177
 233.000   0.775166   0.799209   0.538946   0.800213   0.372900   0.585911
 234.000   0.774615   0.798550   0.537381   0.799176   0.253396   0.690741
 235.000   0.774066   0.798094   0.535819   0.797961   0.294280   0.833939
 236.000   0.773520   0.797569   0.534259   0.796502   0.315249   0.712400
 237.000   0.772977   0.797008   0.532703   0.795250   0.250930   0.329999
 238.000   0.772436   0.796557   0.531150   0.794648   0.172891   0.560968
 239.000   0.771897   0.796238   0.529599   0.793653   0.646691   0.537274
 240.000   0.771361   0.795114   0.528051   0.792698   0.440583   0.615554
 241.000   0.770829   0.794341   0.526505   0.791610   0.618094   0.643213
 242.000   0.770299   0.793265   0.524962   0.790475   0.608629   0.856139
 243.000   0.769772   0.792206   0.523422   0.788978   0.267148   0.667425
 244.000   0.769249   0.791727   0.521885   0.787802   0.288984   0.195517
 245.000   0.768729   0.791211   0.520350   0.787428   0.585843   0.460110
 246.000   0.768211   0.790190   0.518818   0.786603   0.466980   0.629556
 247.000   0.767696   0.789372   0.517288   0.785491   0.716228   0.380174
